ID,Match #,Batting_Runs,Batting_Mins,Balls Faced,4s,6s,SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Overs,Mdns,Bowling_Runs,Wkts,Bowling_Econ,Bowling_Pos,Bowling_Inns,Catch Taken,Inns,Opposition,Ground,Start Date,
399,ODI # 1630,25,55,35,4,0,71.42,2,lbw,2,6,0,25,0,4.16,5,1,0,1,ODI v Kenya,Nairobi (Gym),03-Oct-00,25
400,ODI # 1633,38,58,37,3,3,102.7,2,caught,1,7,0,31,1,4.42,5,2,0,2,ODI v Australia,Nairobi (Gym),07-Oct-00,38
401,ODI # 1638,39,61,50,4,0,78,2,caught,1,5,0,32,2,6.4,6,2,1,2,ODI v South Africa,Nairobi (Gym),13-Oct-00,39
402,ODI # 1639,69,103,83,10,1,83.13,2,run out,1,10,1,38,1,3.8,5,2,0,2,ODI v New Zealand,Nairobi (Gym),15-Oct-00,69
403,ODI # 1640,101,-,140,3,1,72.14,2,run out,1,5,0,22,0,4.4,5,2,0,2,ODI v Sri Lanka,Sharjah,20-Oct-00,101
404,ODI # 1644,8,-,15,1,0,53.33,2,caught,1,6,0,46,1,7.66,7,2,0,2,ODI v Zimbabwe,Sharjah,22-Oct-00,8
405,ODI # 1648,4,-,10,0,0,40,1,caught,2,3,0,16,0,5.33,6,1,0,1,ODI v Zimbabwe,Sharjah,26-Oct-00,4
406,ODI # 1650,61,-,54,7,0,112.96,2,caught,2,3,0,21,0,7,8,1,0,1,ODI v Sri Lanka,Sharjah,27-Oct-00,61
407,ODI # 1652,5,-,11,0,0,45.45,2,caught,2,10,0,28,1,2.8,5,1,0,1,ODI v Sri Lanka,Sharjah,29-Oct-00,5
408,Test # 1512,18,63,41,1,0,43.9,5,caught,2,10,2,34,1,3.4,6,1,0,1,Test v Bangladesh,Dhaka,10-Nov-00,18
409,Test # 1512,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,0,3,Test v Bangladesh,Dhaka,10-Nov-00,-1
410,Test # 1515,122,283,233,19,0,52.36,4,caught,2,19,5,51,1,2.68,5,1,0,1,Test v Zimbabwe,Delhi,18-Nov-00,122
411,Test # 1515,39,45,39,8,0,100,4,caught,4,4,1,10,0,2.5,4,3,1,3,Test v Zimbabwe,Delhi,18-Nov-00,39
412,Test # 1517,201,392,281,27,0,71.53,4,not out,1,1,0,7,0,7,6,2,0,2,Test v Zimbabwe,Nagpur,25-Nov-00,201
413,Test # 1517,-1,-,-,-,-,-,-,-,3,11,3,19,0,1.72,5,3,2,3,Test v Zimbabwe,Nagpur,25-Nov-00,-1
414,ODI # 1656,44,90,49,7,0,89.79,2,caught,2,4,0,22,1,5.5,6,1,1,1,ODI v Zimbabwe,Cuttack,02-Dec-00,44
415,ODI # 1657,8,27,20,0,0,40,1,caught,1,10,0,53,1,5.3,3,2,0,2,ODI v Zimbabwe,Ahmedabad,05-Dec-00,8
416,ODI # 1658,146,200,153,15,2,95.42,2,caught,1,6,0,35,1,5.83,6,2,0,2,ODI v Zimbabwe,Jodhpur,08-Dec-00,146
417,ODI # 1659,62,113,86,9,0,72.09,2,lbw,2,-1,-,-,-,-,-,1,0,1,ODI v Zimbabwe,Kanpur,11-Dec-00,62
418,ODI # 1660,27,38,38,5,0,71.05,2,bowled,1,-1,-,-,-,-,-,2,0,2,ODI v Zimbabwe,Rajkot,14-Dec-00,27
419,Test # 1531,76,138,114,13,0,66.66,4,caught,1,7,1,35,0,5,5,2,1,2,Test v Australia,Wankhede,27-Feb-01,76
420,Test # 1531,65,153,107,11,0,60.74,5,caught,3,-1,-,-,-,-,-,4,0,4,Test v Australia,Wankhede,27-Feb-01,65
